Customer_ID,Age,Employment_Status,Income_USD,Credit_Score,Total_BNPL_Active_Loans,Total_BNPL_Debt_USD,Late_Payment_History,Shopping_Category_Most_Frequent,Average_Transaction_Value_USD
C00001,29,Employed,73405.0,637.0,2,193,No,Fashion,118
C00002,64,Employed,53732.0,815.0,0,0,No,Electronics,662
C00003,26,Freelancer,69930.0,723.0,2,273,No,Fashion,76
C00004,19,Employed,96941.0,716.0,3,421,No,Home/Furniture,449
C00005,55,Student,15959.0,675.0,2,145,No,Travel,974
C00006,20,Student,19759.0,488.0,3,513,Yes,Electronics,389
C00007,21,Student,7351.0,,2,50,No,Groceries/Essentials,61
C00008,53,Freelancer,90887.0,730.0,4,773,No,Electronics,665
C00009,42,Freelancer,51148.0,610.0,5,918,No,Electronics,681
C00010,47,Employed,115871.0,723.0,2,185,No,Groceries/Essentials,54
C00011,41,Unemployed,,621.0,2,377,No,Fashion,64
C00012,20,Employed,58476.0,774.0,1,181,No,Fashion,115
C00013,18,Student,16857.0,474.0,2,298,Yes,Electronics,662
C00014,48,Employed,53800.0,708.0,2,170,No,Fashion,138
C00015,23,Employed,54700.0,721.0,1,110,No,Fashion,154
C00016,28,Employed,88759.0,667.0,0,0,No,Fashion,29
C00017,22,Student,10051.0,539.0,2,356,Yes,Home/Furniture,391
C00018,19,Student,13543.0,552.0,2,329,No,Fashion,89
C00019,28,Employed,29754.0,676.0,1,214,No,Home/Furniture,417
C00020,24,Student,11350.0,719.0,0,0,No,Fashion,115
C00021,34,Freelancer,54046.0,555.0,6,705,No,Travel,853
C00022,49,Employed,78587.0,684.0,1,168,No,Electronics,384
C00023,22,Employed,29426.0,660.0,5,572,No,Groceries/Essentials,38
C00024,27,Freelancer,51881.0,529.0,1,62,Yes,Fashion,152
C00025,36,Employed,47944.0,688.0,2,248,No,Electronics,698
C00026,29,Employed,106596.0,647.0,4,599,No,Travel,926
C00027,20,Employed,63301.0,755.0,3,157,No,Fashion,113
C00028,30,Employed,38713.0,720.0,4,1083,No,Fashion,125
C00029,46,Employed,37615.0,666.0,6,300,No,Home/Furniture,457
C00030,57,Employed,,585.0,2,109,No,Electronics,561
C00031,24,Student,18462.0,616.0,0,0,No,Electronics,528
C00032,61,Employed,51287.0,643.0,2,265,No,Fashion,153
C00033,53,Employed,59066.0,724.0,1,105,No,Electronics,635
C00034,42,Employed,97341.0,544.0,1,153,No,Fashion,28
C00035,47,Student,18993.0,545.0,3,176,Yes,Home/Furniture,489
C00036,19,Employed,70898.0,647.0,1,255,Yes,Fashion,99
C00037,27,Employed,55752.0,686.0,7,1825,No,Electronics,596
C00038,26,Employed,22659.0,765.0,8,1428,No,Groceries/Essentials,29
C00039,22,Employed,59480.0,748.0,1,210,Yes,Groceries/Essentials,50
C00040,53,Student,18748.0,547.0,3,203,No,Electronics,466
C00041,39,Student,13311.0,765.0,0,0,Yes,Electronics,435
C00042,23,Employed,81083.0,701.0,4,880,No,Fashion,45
C00043,33,Employed,45971.0,627.0,0,0,No,Fashion,116
C00044,24,Employed,67537.0,626.0,2,122,No,Groceries/Essentials,73
C00045,22,Employed,76599.0,701.0,2,157,No,Home/Furniture,488
C00046,47,Employed,82258.0,606.0,2,221,Yes,Fashion,85
C00047,22,Employed,72305.0,743.0,1,101,No,Fashion,74
C00048,49,Employed,90789.0,628.0,1,92,No,Fashion,68
C00049,54,Employed,57299.0,691.0,1,144,No,Travel,1181
C00050,47,Employed,74514.0,677.0,1,208,No,Electronics,402
C00051,38,Employed,82051.0,662.0,2,276,No,Fashion,48
C00052,52,Employed,70213.0,709.0,1,204,No,Home/Furniture,395
C00053,29,Employed,60149.0,710.0,0,0,No,Electronics,612
C00054,34,Student,14248.0,600.0,2,283,Yes,Electronics,608
C00055,30,Employed,73911.0,682.0,1,39,No,Fashion,164
C00056,18,Employed,62300.0,677.0,3,575,No,Groceries/Essentials,56
C00057,24,Employed,70601.0,706.0,3,560,No,Electronics,412
C00058,36,Employed,78906.0,642.0,1,194,No,Fashion,116
C00059,27,Student,11230.0,676.0,1,158,No,Electronics,547
C00060,31,Freelancer,70688.0,579.0,1,89,Yes,Home/Furniture,237
C00061,37,Employed,68143.0,831.0,6,1187,No,Home/Furniture,382
C00062,25,Employed,85468.0,666.0,1,116,No,Travel,691
C00063,27,Unemployed,5000.0,677.0,0,0,No,Electronics,551
C00064,21,Employed,94590.0,697.0,4,618,No,Electronics,663
C00065,18,Employed,32526.0,752.0,3,411,No,Home/Furniture,442
